time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-31T23:52:27.000Z,19.360833333333,-155.297,1.72,2.6,ml,31,50,0.02534,0.11,hv,hv74081826,2024-04-13T19:31:01.040Z,"11 km SW of Volcano, Hawaii",earthquake,0.18,0.27,0.22545178422235,16,reviewed,hv,hv
2024-01-31T23:50:47.470Z,19.434,-155.36366666667,22.17,2.68,ml,16,220,0.05632,0.58,hv,hv74081816,2024-04-13T19:31:00.040Z,"13 km W of Volcano, Hawaii",earthquake,3.54,2.32,0.17311755983882,6,reviewed,hv,hv
2024-01-31T23:48:09.890Z,19.3825,-155.28033333333,1.33,2.65,ml,21,47,0.004218,0.08,hv,hv74081806,2024-04-13T19:30:59.040Z,"8 km SW of Volcano, Hawaii",earthquake,0.15,0.13,0.25000652544232,22,reviewed,hv,hv
2024-01-31T23:46:09.480Z,19.382,-155.27983333333,1.39,2.75,ml,28,46,0.004846,0.1,hv,hv74081801,2024-04-13T19:30:58.040Z,"8 km SW of Volcano, Hawaii",earthquake,0.18,0.16,0.076301174596263,7,reviewed,hv,hv
2024-01-31T23:44:22.432Z,51.4432,179.407,56.7,2.9,ml,22,141,0.092,0.38,us,us7000m0rm,2024-04-13T19:30:57.040Z,"278 km WSW of Adak, Alaska",earthquake,6.46,19.496,0.097,14,reviewed,us,us
2024-01-31T23:43:17.478Z,12.6093,-89.2963,45.259,4.6,mb,98,163,1.049,0.57,us,us7000lvj9,2024-04-13T19:30:56.040Z,"97 km S of La Libertad, El Salvador",earthquake,6.17,7.811,0.063,74,reviewed,us,us
2024-01-31T23:42:37.219Z,19.3766,-155.2678,0.984,2.6,ml,24,60,0.026,0.2,us,us7000lvj7,2024-04-13T19:30:55.040Z,"8 km SSW of Volcano, Hawaii",earthquake,0.76,6.456,0.057,40,reviewed,us,us
2024-01-31T23:17:39.690Z,19.358333333333,-155.2945,1.53,2.83,ml,33,53,0.0234,0.12,hv,hv74081731,2024-04-13T19:30:55.040Z,"11 km SW of Volcano, Hawaii",earthquake,0.18,0.24,0.19414700143567,16,reviewed,hv,hv
2024-01-31T23:07:12.081Z,37.3723,136.7898,8.748,4.2,mwr,67,65,1.341,0.68,us,us7000lviq,2024-04-13T19:30:54.040Z,"18 km NNW of Anamizu, Japan",earthquake,4.85,4.255,0.083,14,reviewed,us,us
2024-01-31T22:51:52.816Z,33.1068,-39.3618,10,4.4,mb,21,97,21.018,0.64,us,us7000lx42,2024-04-13T19:30:53.040Z,"northern Mid-Atlantic Ridge",earthquake,13.99,1.928,0.154,12,reviewed,us,us
2024-01-31T22:48:41.030Z,19.310333333333,-155.2525,2.16,2.51,ml,18,106,0.03912,0.17,hv,hv74081661,2024-04-13T19:30:52.040Z,"14 km S of Volcano, Hawaii",earthquake,0.29,0.87,0.12833557632729,3,reviewed,hv,hv
2024-01-31T22:36:31.810Z,19.149666666667,-155.36466666667,28.81,2.7,ml,22,193,0.09229,0.13,hv,hv74081631,2024-04-13T19:30:51.040Z,"13 km ESE of Pāhala, Hawaii",earthquake,0.97,0.85,0.17081413885356,11,reviewed,hv,hv
2024-01-31T22:28:56.022Z,-6.9643,148.0811,28.439,4.5,mb,49,134,2.59,0.58,us,us7000lx41,2024-04-13T19:30:50.040Z,"51 km SSE of Finschhafen, Papua New Guinea",earthquake,11.97,5.67,0.095,33,reviewed,us,us
2024-01-31T22:21:03.700Z,19.388166666667,-155.27833333333,1.73,2.56,ml,30,43,0.003583,0.08,hv,hv74081581,2024-04-13T19:30:48.040Z,"7 km SW of Volcano, Hawaii",earthquake,0.17,0.14,0.1329778646288,13,reviewed,hv,hv
2024-01-31T22:06:57.100Z,19.385166666667,-155.278,1.04,2.84,ml,30,45,0.003761,0.09,hv,hv74081526,2024-04-13T19:30:47.040Z,"7 km SW of Volcano, Hawaii",earthquake,0.14,0.12,0.12197727261034,15,reviewed,hv,hv
2024-01-31T22:04:24.814Z,-23.1189,172.3308,10,4.3,mb,17,156,4.533,0.9,us,us7000lx43,2024-04-13T19:30:46.040Z,"southeast of the Loyalty Islands",earthquake,7.06,1.956,0.169,10,reviewed,us,us
2024-01-31T22:04:05.210Z,19.384166666667,-155.275,1.63,2.89,ml,33,45,0.006762,0.12,hv,hv74081521,2024-04-13T19:30:45.040Z,"7 km SSW of Volcano, Hawaii",earthquake,0.16,0.13,0.21359340367046,16,reviewed,hv,hv
2024-01-31T22:00:20.080Z,19.397666931152,-155.26432800293,0.94999998807907,2.9,ml,31,30,0.009085,0.319999993,hv,hv74081511,2024-04-13T19:30:45.040Z,"5 km SSW of Volcano, Hawaii",earthquake,0.34,0.289999992,0.45,27,automatic,hv,hv
2024-01-31T21:52:18.620Z,19.384833333333,-155.27866666667,1.13,2.67,ml,31,45,0.003337,0.1,hv,hv74081481,2024-04-13T19:30:44.040Z,"7 km SW of Volcano, Hawaii",earthquake,0.15,0.12,0.10280700252873,13,reviewed,hv,hv
2024-01-31T21:51:01.540Z,19.361333333333,-155.29866666667,1.97,2.52,ml,
