ccode,abbrev,name,valid_from,valid_to
2,USA,United States of America,1816-01-01,
20,CAN,Canada,1920-01-10,
31,BHM,Bahamas,1973-07-10,
40,CUB,Cuba,1902-05-20,1906-09-25
40,CUB,Cuba,1909-01-23,
41,HAI,Haiti,1859-01-01,1915-07-28
41,HAI,Haiti,1934-08-15,
42,DOM,Dominican Republic,1894-01-01,1916-11-29
42,DOM,Dominican Republic,1924-09-29,
51,JAM,Jamaica,1962-08-06,
52,TRI,Trinidad and Tobago,1962-08-31,
53,BAR,Barbados,1966-11-30,
54,DMA,Dominica,1978-11-03,
55,GRN,Grenada,1974-02-07,
56,SLU,St. Lucia,1979-02-22,
57,SVG,St. Vincent and the Grenadines,1979-10-27,
58,AAB,Antigua & Barbuda,1981-11-01,
60,SKN,St. Kitts and Nevis,1983-09-19,
70,MEX,Mexico,1831-01-01,
80,BLZ,Belize,1981-09-21,
90,GUA,Guatemala,1868-01-01,
91,HON,Honduras,1899-01-01,
92,SAL,El Salvador,1875-01-01,
93,NIC,Nicaragua,1900-01-01,
94,COS,Costa Rica,1920-01-01,
95,PAN,Panama,1903-11-03,
100,COL,Colombia,1831-01-01,
101,VEN,Venezuela,1841-01-01,
110,GUY,Guyana,1966-05-26,
115,SUR,Suriname,1975-11-25,
130,ECU,Ecuador,1854-01-01,
135,PER,Peru,1839-01-01,
140,BRA,Brazil,1822-09-07,
145,BOL,Bolivia,1848-01-01,
150,PAR,Paraguay,1846-01-01,1870-06-20
150,PAR,Paraguay,1876-06-22,
155,CHL,Chile,1839-01-01,
160,ARG,Argentina,1841-01-01,
165,URU,Uruguay,1882-01-01,
200,UKG,United Kingdom,1816-01-01,
205,IRE,Ireland,1922-12-06,
210,NTH,Netherlands,1816-01-01,1940-07-14
210,NTH,Netherlands,1945-06-26,
211,BEL,Belgium,1830-12-20,1940-05-28
211,BEL,Belgium,1945-06-26,
212,LUX,Luxembourg,1920-11-15,1940-05-10
212,LUX,Luxembourg,1944-09-10,
220,FRN,France,1816-01-01,1942-11-11
220,FRN,France,1944-08-25,
221,MNC,Monaco,1993-05-28,
223,LIE,Liechtenstein,1990-09-18,
225,SWZ,Switzerland,1816-01-01,
230,SPN,Spain,1816-01-01,
232,AND,Andorra,1993-07-28,
235,POR,Portugal,1816-01-01,
240,HAN,Hanover,1837-06-20,1866-07-26
245,BAV,Bavaria,1816-01-01,1871-01-18
255,GMY,Germany,1816-01-01,1945-05-08
255,GMY,Germany,1990-10-03,
260,GFR,German Federal Republic,1955-05-05,1990-10-02
265,GDR,German Democratic Republic,1954-03-25,1990-10-02
267,BAD,Baden,1816-01-01,1871-01-18
269,SAX,Saxony,1816-01-01,1867-04-17
271,WRT,Wuerttemburg,1816-01-01,1871-01-18
273,HSE,Hesse Electoral,1816-01-01,1866-07-26
275,HSG,Hesse Grand Ducal,1816-01-01,1867-04-17
280,MEC,Mecklenburg Schwerin,1843-01-01,1867-04-17
290,POL,Poland,1918-11-03,1939-09-27
290,POL,Poland,1945-06-28,
300,AUH,Austria-Hungary,1816-01-01,1918-11-12
305,AUS,Austria,1919-09-10,1938-03-13
305,AUS,Austria,1955-07-27,
310,HUN,Hungary,1918-11-16,
315,CZE,Czechoslovakia,1918-10-28,1939-03-15
315,CZE,Czechoslovakia,1945-05-10,1992-12-31
316,CZR,Czech Republic,1993-01-01,
317,SLO,Slovakia,1993-01-01,
325,ITA,Italy,1816-01-01,
327,PAP,Papal States,1816-01-01,1860-11-05
329,SIC,Two Sicilies,1816-01-01,1861-02-13
331,SNM,San Marino,1992-03-02,
332,MOD,Modena,1842-01-01,1860-03-15
335,PMA,Parma,1851-01-01,1860-03-15
337,TUS,Tuscany,1816-01-01,1860-03-15
338,MLT,Malta,1964-09-21,
339,ALB,Albania,1914-01-01,1939-04-07
339,ALB,Albania,1944-11-17,
341,MNG,Montenegro,2006-06-12,
343,MAC,Macedonia,1993-04-08,
344,CRO,Croatia,1992-01-15,
345,YUG,Yugoslavia,1878-07-13,1941-04-20
345,YUG,Yugoslavia,1944-10-20,
346,BOS,Bosnia and Herzegovina,1992-04-07,
347,KOS,Kosovo,2008-02-20,
349,SLV,Slovenia,1992-01-15,
350,GRC,Greece,1828-01-01,1941-04-23
350,GRC,Greece,1944-10-13,
352,CYP,Cyprus,1960-08-16,
355,BUL,Bulgaria,1908-10-05,
359,MLD,Moldova,1991-12-26,
360,ROM,Romania,1878-07-13,
365,RUS,Russia,1816-01-01,
366,EST,Estonia,1918-02-24,1940-06-16
366,EST,Estonia,1991-09-06,
367,LAT,Latvia,1918-11-18,1940-06-16
367,LAT,Latvia,1991-09-06,
368,LIT,Lithuania,1918-02-16,1940-06-15
368,LIT,Lithuania,1991-09-06,
369,UKR,Ukraine,1991-12-26,
370,BLR,Belarus,1991-12-26,
371,ARM,Armenia,1991-12-26,
372,GRG,Georgia,1991-12-26,
373,AZE,Azerbaijan,1991-12-26,
375,FIN,Finland,1917-12-06,
380,SWD,Sweden,1816-01-01,
385,NOR,Norway,1905-06-07,1940-04-30
385,NOR,Norway,1945-05-07,
390,DEN,Denmark,1816-01-01,1940-04-09
390,DEN,Denmark,1945-05-07,
395,ICE,Iceland,1944-06-17,
402,CAP,Cape Verde,1975-07-05,
403,STP,Sao Tome and Principe,1975-07-12,
404,GNB,Guinea-Bissau,1974-09-10,
411,EQG,Equatorial Guinea,1968-10-12,
420,GAM,Gambia,1965-02-18,
432,MLI,Mali,1960-06-20,
433,SEN,Senegal,1960-08-20,
434,BEN,Benin,1960-08-01,
435,MAA,Mauritania,1960-11-28,
436,NIR,Niger,1960-10-03,
437,CDI,Ivory Coast,1960-08-07,
438,GUI,Guinea,1958-10-02,
439,BFO,Burkina Faso,1960-08-05,
450,LBR,Liberia,1920-06-30,
451,SIE,Sierra Leone,1961-04-27,
452,GHA,Ghana,1957-03-06,
461,TOG,Togo,1960-04-27,
471,CAO,Cameroon,1960-01-01,
475,NIG,Nigeria,1960-10-01,
481,GAB,Gabon,1960-08-17,
482,CEN,Central African Republic,1960-08-13,
483,CHA,Chad,1960-08-11,
484,CON,Congo,1960-08-15,
490,DRC,Democratic Republic of the Congo,1960-06-30,
500,UGA,Uganda,1962-10-09,
501,KEN,Kenya,1963-12-12,
510,TAZ,Tanzania,1961-12-09,
511,ZAN,Zanzibar,1963-12-19,1964-04-26
516,BUI,Burundi,1962-07-01,
517,RWA,Rwanda,1962-07-01,
520,SOM,Somalia,1960-07-01,
522,DJI,Djibouti,1977-06-27,
530,ETH,Ethiopia,1898-01-01,1936-05-05
530,ETH,Ethiopia,1941-05-05,
531,ERI,Eritrea,1993-05-24,
540,ANG,Angola,1975-11-11,
541,MZM,Mozambique,1975-06-25,
551,ZAM,Zambia,1964-10-24,
552,ZIM,Zimbabwe,1965-11-11,
553,MAW,Malawi,1964-07-06,
560,SAF,South Africa,1920-01-10,
565,NAM,Namibia,1990-03-21,
570,LES,Lesotho,1966-10-04,
571,BOT,Botswana,1966-09-30,
572,SWA,Swaziland,1968-09-06,
580,MAG,Madagascar,1960-06-26,
581,COM,Comoros,1975-12-31,
590,MAS,Mauritius,1968-03-12,
591,SEY,Seychelles,1976-06-29,
600,MOR,Morocco,1847-01-01,1912-03-30
600,MOR,Morocco,1956-03-02,
615,ALG,Algeria,1962-07-05,
616,TUN,Tunisia,1825-01-01,1881-05-12
616,TUN,Tunisia,1956-03-20,
620,LIB,Libya,1951-12-24,
625,SUD,Sudan,1956-01-01,
626,SSD,South Sudan,2011-07-09,
630,IRN,Iran,1855-01-01,
640,TUR,Turkey,1816-01-01,
645,IRQ,Iraq,1932-10-03,
651,EGY,Egypt,1855-01-01,1882-09-15
651,EGY,Egypt,1937-05-26,
652,SYR,Syria,1946-04-17,1958-02-01
652,SYR,Syria,1961-09-29,
660,LEB,Lebanon,1946-03-10,
663,JOR,Jordan,1946-03-22,
666,ISR,Israel,1948-05-14,
670,SAU,Saudi Arabia,1927-05-20,
678,YAR,Yemen Arab Republic,1926-09-02,1990-05-21
679,YEM,Yemen,1990-05-22,
680,YPR,Yemen People's Republic,1967-11-30,1990-05-21
690,KUW,Kuwait,1961-06-19,
692,BAH,Bahrain,1971-08-15,
694,QAT,Qatar,1971-09-03,
696,UAE,United Arab Emirates,1971-12-02,
698,OMA,Oman,1971-10-07,
700,AFG,Afghanistan,1919-08-08,
701,TKM,Turkmenistan,1991-12-26,
702,TAJ,Tajikistan,1991-12-26,
703,KYR,Kyrgyzstan,1991-12-26,
704,UZB,Uzbekistan,1991-12-26,
705,KZK,Kazakhstan,1991-12-26,
710,CHN,China,1860-10-25,
712,MON,Mongolia,1921-03-13,
713,TAW,Taiwan,1949-12-08,
730,KOR,Korea,1887-01-01,1905-11-17
731,PRK,North Korea,1948-09-09,
732,ROK,South Korea,1949-06-29,
740,JPN,Japan,1860-01-01,1945-08-14
740,JPN,Japan,1952-04-28,
750,IND,India,1947-08-15,
760,BHU,Bhutan,1971-09-21,
770,PAK,Pakistan,1947-08-14,
771,BNG,Bangladesh,1971-12-16,
775,MYA,Myanmar,1948-01-04,
780,SRI,Sri Lanka,1948-02-04,
781,MAD,Maldives,1965-07-26,
790,NEP,Nepal,1920-01-01,
800,THI,Thailand,1887-01-01,
811,CAM,Cambodia,1953-11-09,
812,LAO,Laos,1953-10-23,
816,DRV,Vietnam,1954-07-21,
817,RVN,Republic of Vietnam,1954-06-04,1975-04-30
820,MAL,Malaysia,1957-08-31,
830,SIN,Singapore,1965-08-09,
835,BRU,Brunei,1984-01-01,
840,PHI,Philippines,1946-07-04,
850,INS,Indonesia,1949-12-27,
860,ETM,East Timor,2002-09-27,
900,AUL,Australia,1920-01-10,
910,PNG,Papua New Guinea,1975-09-16,
920,NEW,New Zealand,1920-01-10,
935,VAN,Vanuatu,1981-09-15,
940,SOL,Solomon Islands,1978-07-07,
946,KIR,Kiribati,1999-09-14,
947,TUV,Tuvalu,2000-09-05,
950,FIJ,Fiji,1970-10-10,
955,TON,Tonga,1999-09-14,
970,NAU,Nauru,1999-09-14,
983,MSI,Marshall Islands,1991-09-17,
986,PAL,Palau,1994-12-15,
987,FSM,Federated States of Micronesia,1991-09-17,
990,WSM,Samoa,1976-12-15,
