gwcode,abbrev,name,valid_from,valid_to,list
2,USA,United States of America,1816-01-01,,
20,CAN,Canada,1867-07-01,,
31,BHM,Bahamas,1973-07-10,,
40,CUB,Cuba,1902-05-20,,
41,HAI,Haiti,1816-01-01,1915-07-04,
41,HAI,Haiti,1934-08-15,,
42,DOM,Dominican Republic,1844-02-27,,
51,JAM,Jamaica,1962-08-06,,
52,TRI,Trinidad and Tobago,1962-08-31,,
53,BAR,Barbados,1966-11-30,,
70,MEX,Mexico,1821-07-01,,
80,BLZ,Belize,1981-09-21,,
89,UPC,United Provinces of Central America,1823-07-01,1839-12-31,
90,GUA,Guatemala,1840-01-01,,
91,HON,Honduras,1840-01-01,,
92,SAL,El Salvador,1840-01-01,,
93,NIC,Nicaragua,1840-01-01,,
94,COS,Costa Rica,1840-01-01,,
95,PAN,Panama,1903-11-03,,
99,GCL,Great Colombia,1821-08-30,1830-09-22,
100,COL,Colombia,1830-09-23,,
101,VEN,Venezuela,1829-01-01,,
110,GUY,Guyana,1966-05-26,,
115,SUR,Surinam,1975-11-25,,
130,ECU,Ecuador,1830-05-13,,
135,PER,Peru,1824-12-09,,
140,BRA,Brazil,1822-09-07,,
145,BOL,Bolivia,1825-08-06,,
150,PAR,Paraguay,1816-01-01,,
155,CHL,Chile,1818-04-01,,
160,ARG,Argentina,1816-07-09,,
165,URU,Uruguay,1830-05-26,,
200,UKG,United Kingdom,1816-01-01,,
205,IRE,Ireland,1921-12-06,,
210,NTH,Netherlands,1816-01-01,,
211,BEL,Belgium,1830-10-04,,
212,LUX,Luxembourg,1867-05-11,,
220,FRN,France,1816-01-01,,
225,SWZ,Switzerland,1816-01-01,,
230,SPN,Spain,1816-01-01,,
235,POR,Portugal,1816-01-01,,
240,HAN,Hanover,1816-01-01,1871-01-17,
245,BAV,Bavaria,1816-01-01,1871-01-17,
255,GMY,Germany (Prussia),1816-01-01,1945-05-07,
260,GFR,German Federal Republic,1949-09-21,,
265,GDR,German Democratic Republic,1949-10-05,1990-10-02,
267,BAD,Baden,1816-01-01,1871-01-17,
269,SAX,Saxony,1816-01-01,1871-01-17,
271,WRT,Württemberg,1816-01-01,1871-01-17,
273,HSE,Hesse-Kassel (Electoral),1816-01-01,1871-01-17,
275,HSD,Hesse-Darmstadt (Ducal),1816-01-01,1871-01-17,
280,MEC,Mecklenburg-Schwerin,1816-01-01,1871-01-17,
290,POL,Poland,1918-11-11,,
300,AUH,Austria-Hungary,1816-01-01,1918-11-13,
305,AUS,Austria,1918-11-14,,
310,HUN,Hungary,1918-11-03,,
315,CZE,Czechoslovakia,1918-11-11,1992-12-31,
316,CZR,Czech Republic,1993-01-01,,
317,SLO,Slovakia,1993-01-01,,
325,ITA,Italy/Sardinia,1816-01-01,,
327,PAP,Papal States,1816-01-01,1870-09-22,
329,SIC,Two Sicilies,1816-01-01,1861-03-16,
332,MOD,Modena,1816-01-01,1861-03-16,
335,PMA,Parma,1816-01-01,1861-03-16,
337,TUS,Tuscany,1816-01-01,1861-03-16,
338,MLT,Malta,1964-09-21,,
339,ALB,Albania,1913-01-01,,
341,MNG,Montenegro,1868-01-01,1915-07-01,
341,MNG,Montenegro,2006-06-03,,
343,MAC,Macedonia (Former Yugoslav Republic of),1991-11-20,,
344,CRO,Croatia,1992-04-27,,
340,SER,Serbia,1878-07-13,1915-10-01,
340,SER,Serbia,2006-06-05,,
345,YUG,Yugoslavia,1918-12-01,2006-06-04,
346,BOS,Bosnia-Herzegovina,1992-04-27,,
347,KOS,Kosovo,2008-02-17,,
349,SLV,Slovenia,1992-04-27,,
350,GRC,Greece,1828-04-25,,
352,CYP,Cyprus,1960-08-16,,
355,BUL,Bulgaria,1878-03-03,,
359,MLD,Moldova,1991-08-27,,
360,RUM,Rumania,1878-07-13,,
365,RUS,Russia (Soviet Union),1816-01-01,,
366,EST,Estonia,1918-11-11,1940-06-01,
366,EST,Estonia,1991-09-06,,
367,LAT,Latvia,1918-11-11,1940-06-01,
367,LAT,Latvia,1991-09-06,,
368,LIT,Lithuania,1918-02-16,1940-06-01,
368,LIT,Lithuania,1991-09-06,,
369,UKR,Ukraine,1991-12-01,,
370,BLR,Belarus (Byelorussia),1991-08-25,,
371,ARM,Armenia,1991-12-21,,
372,GRG,Georgia,1991-12-21,,
373,AZE,Azerbaijan,1991-12-21,,
375,FIN,Finland,1917-12-06,,
380,SWD,Sweden,1816-01-01,,
385,NOR,Norway,1905-08-26,,
390,DEN,Denmark,1816-01-01,,
395,ICE,Iceland,1944-06-17,,
402,CAP,Cape Verde,1975-07-05,,
404,GNB,Guinea-Bissau,1974-09-10,,
411,EQG,Equatorial Guinea,1968-10-12,,
420,GAM,Gambia,1965-02-18,,
432,MLI,Mali,1960-09-22,,
433,SEN,Senegal,1960-04-04,,
434,BEN,Benin,1960-08-01,,
435,MAA,Mauritania,1960-11-28,,
436,NIR,Niger,1960-08-03,,
437,CDI,Cote DIvoire,1960-08-07,,
438,GUI,Guinea,1958-10-02,,
439,BFO,Burkina Faso (Upper Volta),1960-08-05,,
450,LBR,Liberia,1847-07-26,,
451,SIE,Sierra Leone,1961-04-27,,
452,GHA,Ghana,1957-03-06,,
461,TOG,Togo,1960-04-27,,
471,CAO,Cameroon,1960-01-01,,
475,NIG,Nigeria,1960-10-01,,
481,GAB,Gabon,1960-08-17,,
482,CEN,Central African Republic,1960-08-13,,
483,CHA,Chad,1960-08-11,,
484,CON,Congo,1960-08-15,,
490,DRC,"Congo, Democratic Republic of (Zaire)",1960-06-30,,
500,UGA,Uganda,1962-10-09,,
501,KEN,Kenya,1963-12-12,,
510,TAZ,Tanzania/Tanganyika,1961-12-09,,
511,ZAN,Zanzibar,1963-12-19,1964-04-26,
516,BUI,Burundi,1962-07-01,,
517,RWA,Rwanda,1962-01-07,,
520,SOM,Somalia,1960-07-01,,
522,DJI,Djibouti,1977-06-27,,
530,ETH,Ethiopia,1855-02-11,,
531,ERI,Eritrea,1993-05-24,,
540,ANG,Angola,1975-11-11,,
541,MZM,Mozambique,1975-06-25,,
