system,code,valid_from,valid_to,iso3,basis
cow,2,,,USA,name
cow,20,,,CAN,name
cow,31,,,BHS,name
cow,40,,,CUB,name
cow,41,,,HTI,name
cow,42,,,DOM,name
cow,51,,,JAM,name
cow,52,,,TTO,name
cow,53,,,BRB,name
cow,54,,,DMA,name
cow,55,,,GRD,name
cow,56,,,LCA,name
cow,57,,,VCT,name
cow,58,,,ATG,name
cow,60,,,KNA,name
cow,70,,,MEX,name
cow,80,,,BLZ,name
cow,90,,,GTM,name
cow,91,,,HND,name
cow,92,,,SLV,name
cow,93,,,NIC,name
cow,94,,,CRI,name
cow,95,,,PAN,name
cow,100,,,COL,name
cow,101,,,VEN,name
cow,110,,,GUY,name
cow,115,,,SUR,name
cow,130,,,ECU,name
cow,135,,,PER,name
cow,140,,,BRA,name
cow,145,,,BOL,name
cow,150,,,PRY,name
cow,155,,,CHL,name
cow,160,,,ARG,name
cow,165,,,URY,name
cow,200,,,GBR,name
cow,205,,,IRL,name
cow,210,,,NLD,name
cow,211,,,BEL,name
cow,212,,,LUX,name
cow,220,,,FRA,name
cow,221,,,MCO,name
cow,223,,,LIE,name
cow,225,,,CHE,name
cow,230,,,ESP,name
cow,232,,,AND,name
cow,235,,,PRT,name
cow,240,,,,no_iso_code
cow,245,,,,no_iso_code
cow,255,,1945-05-09,DEU,territorial_continuity_pre_iso
cow,255,1990-10-03,,DEU,contemporaneous
cow,260,,1990-10-03,DEU,contemporaneous_iso_deu_denoted_frg
cow,265,,1990-10-03,DDR,contemporaneous
cow,267,,,,no_iso_code
cow,269,,,,no_iso_code
cow,271,,,,no_iso_code
cow,273,,,,no_iso_code
cow,275,,,,no_iso_code
cow,280,,,,no_iso_code
cow,290,,,POL,name
cow,300,,,,no_iso_code
cow,305,,,AUT,name
cow,310,,,HUN,name
cow,315,,1993-01-01,CSK,contemporaneous
cow,316,,,CZE,name
cow,317,,,SVK,name
cow,325,,,ITA,name
cow,327,,,,no_iso_code
cow,329,,,,no_iso_code
cow,331,,,SMR,name
cow,332,,,,no_iso_code
cow,335,,,,no_iso_code
cow,337,,,,no_iso_code
