old_county,old_county_name,new_county,new_county_name,old_cousub_geoid,new_cousub_geoid,cousub_name
09001,Fairfield County,09120,Greater Bridgeport Planning Region,0900108070,0912008070,Bridgeport town
09001,Fairfield County,09120,Greater Bridgeport Planning Region,0900123890,0912023890,Easton town
09001,Fairfield County,09120,Greater Bridgeport Planning Region,0900126620,0912026620,Fairfield town
09001,Fairfield County,09120,Greater Bridgeport Planning Region,0900148620,0912048620,Monroe town
09001,Fairfield County,09120,Greater Bridgeport Planning Region,0900174190,0912074190,Stratford town
09001,Fairfield County,09120,Greater Bridgeport Planning Region,0900177200,0912077200,Trumbull town
09001,Fairfield County,09120,Greater Bridgeport Planning Region,0900100000,0912000000,County subdivisions not defined
09001,Fairfield County,09140,Naugatuck Valley Planning Region,0900168170,0914068170,Shelton town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900100000,0919000000,County subdivisions not defined
09001,Fairfield County,09190,Western Connecticut Planning Region,0900156060,0919056060,Norwalk town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900104720,0919004720,Bethel town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900108980,0919008980,Brookfield town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900118500,0919018500,Danbury town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900118850,0919018850,Darien town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900133620,0919033620,Greenwich town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900150580,0919050580,New Canaan town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900150860,0919050860,New Fairfield town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900152980,0919052980,Newtown town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900163970,0919063970,Ridgefield town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900168310,0919068310,Sherman town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900173070,0919073070,Stamford town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900183430,0919083430,Weston town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900183500,0919083500,Westport town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900186370,0919086370,Wilton town
09001,Fairfield County,09190,Western Connecticut Planning Region,0900163480,0919063480,Redding town
09003,Hartford County,09110,Capitol Planning Region,0900312270,0911012270,Canton town
09003,Hartford County,09110,Capitol Planning Region,0900332640,0911032640,Granby town
09003,Hartford County,09110,Capitol Planning Region,0900345820,0911045820,Marlborough town
09003,Hartford County,09110,Capitol Planning Region,0900302060,0911002060,Avon town
