geoid,usps,name,classfp,valid_from,valid_to,listed_in
01001,AL,Autauga County,H1,,,2020
01003,AL,Baldwin County,H1,,,2020
01005,AL,Barbour County,H1,,,2020
01007,AL,Bibb County,H1,,,2020
01009,AL,Blount County,H1,,,2020
01011,AL,Bullock County,H1,,,2020
01013,AL,Butler County,H1,,,2020
01015,AL,Calhoun County,H1,,,2020
01017,AL,Chambers County,H1,,,2020
01019,AL,Cherokee County,H1,,,2020
01021,AL,Chilton County,H1,,,2020
01023,AL,Choctaw County,H1,,,2020
01025,AL,Clarke County,H1,,,2020
01027,AL,Clay County,H1,,,2020
01029,AL,Cleburne County,H1,,,2020
01031,AL,Coffee County,H1,,,2020
01033,AL,Colbert County,H1,,,2020
01035,AL,Conecuh County,H1,,,2020
01037,AL,Coosa County,H1,,,2020
01039,AL,Covington County,H1,,,2020
01041,AL,Crenshaw County,H1,,,2020
01043,AL,Cullman County,H1,,,2020
01045,AL,Dale County,H1,,,2020
01047,AL,Dallas County,H1,,,2020
01049,AL,DeKalb County,H1,,,2020
01051,AL,Elmore County,H1,,,2020
01053,AL,Escambia County,H1,,,2020
01055,AL,Etowah County,H1,,,2020
01057,AL,Fayette County,H1,,,2020
01059,AL,Franklin County,H1,,,2020
01061,AL,Geneva County,H1,,,2020
01063,AL,Greene County,H1,,,2020
01065,AL,Hale County,H1,,,2020
01067,AL,Henry County,H1,,,2020
01069,AL,Houston County,H1,,,2020
01071,AL,Jackson County,H1,,,2020
01073,AL,Jefferson County,H1,,,2020
01075,AL,Lamar County,H1,,,2020
01077,AL,Lauderdale County,H1,,,2020
01079,AL,Lawrence County,H1,,,2020
01081,AL,Lee County,H1,,,2020
01083,AL,Limestone County,H1,,,2020
01085,AL,Lowndes County,H1,,,2020
01087,AL,Macon County,H1,,,2020
01089,AL,Madison County,H1,,,2020
01091,AL,Marengo County,H1,,,2020
01093,AL,Marion County,H1,,,2020
01095,AL,Marshall County,H1,,,2020
01097,AL,Mobile County,H1,,,2020
01099,AL,Monroe County,H1,,,2020
